Thu 22 Dec 2022 05:35:08 PM KST
NODELIST=vll1
MASTER_ADDR=vll1
conda 22.9.0
Python 3.8.11
Vit is used
[INFO] main.py:39 > Namespace(agem_batch=240, batchsize=16, data_dir='/local_datasets/puridiver/cifar100', dataset='cifar100', debug=False, distilling=True, eval_period=100, gpu_transform=True, imp_update_period=1, init_model=False, init_opt=False, log_path='results', lr=0.001, lr_length=10, lr_period=10, lr_step=0.95, m=10, memory_epoch=256, memory_size=2000, mir_cands=50, mode='Freeze_extractor', model_name='vit', n=50, n_tasks=10, n_worker=0, note='[Freeze_extractor]_iblurry_cifar100_3epoch', num_gpus=1, online_iter=3.0, opt_name='sgd', reg_coef=100, rnd_seed=1, sched_name='cos', temp_batchsize=None, topk=1, transforms=['cutmix', 'autoaug'], use_amp=True, workers_per_gpu=1)
[INFO] main.py:48 > Set the device (cuda)
[INFO] main.py:94 > Using train-transforms Compose(
    RandomCrop(size=(32, 32), padding=4)
    RandomHorizontalFlip(p=0.5)
    AutoAugment(policy=AutoAugmentPolicy.CIFAR10, fill=None)
    ConvertImageDtype()
    Normalize(mean=(0.5071, 0.4867, 0.4408), std=(0.2675, 0.2565, 0.2761))
)
[INFO] main.py:104 > [1] Select a CIL method (Freeze_extractor)
[INFO] main.py:110 > [2] Incrementally training 10 tasks

##################################################
# Task 0 iteration
##################################################

[INFO] main.py:123 > [2-1] Prepare a datalist for the current task
[INFO] Freeze_extractor.py:209 > Train | Sample # 232 | train_loss 1.0208 | train_acc 0.7266 | lr 0.000711 | running_time 0:00:34 | ETA 2:03:43
[INFO] Freeze_extractor.py:209 > Train | Sample # 240 | train_loss 0.9885 | train_acc 0.6823 | lr 0.000642 | running_time 0:00:35 | ETA 2:02:14
[INFO] Freeze_extractor.py:209 > Train | Sample # 248 | train_loss 0.9156 | train_acc 0.7656 | lr 0.000570 | running_time 0:00:36 | ETA 2:00:49
[INFO] Freeze_extractor.py:209 > Train | Sample # 256 | train_loss 0.7811 | train_acc 0.7995 | lr 0.000497 | running_time 0:00:36 | ETA 1:59:33
[INFO] Freeze_extractor.py:209 > Train | Sample # 264 | train_loss 1.1326 | train_acc 0.6693 | lr 0.000424 | running_time 0:00:37 | ETA 1:58:23
[INFO] Freeze_extractor.py:209 > Train | Sample # 272 | train_loss 0.7157 | train_acc 0.8568 | lr 0.000352 | running_time 0:00:38 | ETA 1:57:12
[INFO] Freeze_extractor.py:209 > Train | Sample # 280 | train_loss 0.9980 | train_acc 0.7552 | lr 0.000283 | running_time 0:00:39 | ETA 1:56:07
[INFO] Freeze_extractor.py:209 > Train | Sample # 288 | train_loss 1.1761 | train_acc 0.7188 | lr 0.000220 | running_time 0:00:40 | ETA 1:55:07
[INFO] Freeze_extractor.py:209 > Train | Sample # 296 | train_loss 1.1129 | train_acc 0.6953 | lr 0.000162 | running_time 0:00:40 | ETA 1:54:08
[INFO] Freeze_extractor.py:219 > Test | Sample # 300 | test_loss 1.4753 | test_acc 0.6311 | 
