Thu 22 Dec 2022 06:13:50 PM KST
NODELIST=vll1
MASTER_ADDR=vll1
conda 22.11.0
Python 3.10.8
[INFO] main.py:39 > Namespace(mode='L2P', dataset='cifar100', n_tasks=10, n=50, m=10, rnd_seed=1, memory_size=2000, log_path='results', model_name='resnet34', opt_name='sgd', sched_name='cos', batchsize=16, n_worker=0, lr=0.03, init_model=False, init_opt=False, topk=1, use_amp=True, transforms=['cutmix', 'autoaug'], gpu_transform=True, reg_coef=100, data_dir='/local_datasets/puridiver/cifar100', debug=False, note='[L2P]_iblurry_cifar100_3epoch', eval_period=100, temp_batchsize=None, online_iter=3.0, num_gpus=1, workers_per_gpu=1, imp_update_period=1, lr_step=0.95, lr_length=10, lr_period=10, memory_epoch=256, distilling=True, agem_batch=240, mir_cands=50)
[INFO] main.py:48 > Set the device (cuda)
[INFO] main.py:94 > Using train-transforms Compose(
    RandomCrop(size=(32, 32), padding=4)
    RandomHorizontalFlip(p=0.5)
    AutoAugment(policy=AutoAugmentPolicy.CIFAR10, fill=None)
    ConvertImageDtype()
    Normalize(mean=(0.5071, 0.4867, 0.4408), std=(0.2675, 0.2565, 0.2761))
)
[INFO] main.py:104 > [1] Select a CIL method (L2P)
[INFO] main.py:110 > [2] Incrementally training 10 tasks

##################################################
# Task 0 iteration
##################################################

[INFO] main.py:123 > [2-1] Prepare a datalist for the current task
[INFO] L2P.py:342 > Train | Sample # 256 | train_loss 22.5027 | train_acc 0.7448 | lr 0.030000 | running_time 0:01:21 | ETA 4:22:57
[INFO] L2P.py:342 > Train | Sample # 264 | train_loss 22.9925 | train_acc 0.6693 | lr 0.030000 | running_time 0:01:23 | ETA 4:20:39
[INFO] L2P.py:342 > Train | Sample # 272 | train_loss 23.2336 | train_acc 0.8333 | lr 0.030000 | running_time 0:01:24 | ETA 4:18:28
[INFO] L2P.py:342 > Train | Sample # 280 | train_loss 22.2838 | train_acc 0.7578 | lr 0.030000 | running_time 0:01:26 | ETA 4:16:25
[INFO] L2P.py:342 > Train | Sample # 288 | train_loss 22.7560 | train_acc 0.7240 | lr 0.030000 | running_time 0:01:28 | ETA 4:14:28
[INFO] L2P.py:342 > Train | Sample # 296 | train_loss 23.1352 | train_acc 0.6745 | lr 0.030000 | running_time 0:01:30 | ETA 4:12:38
[INFO] L2P.py:352 > Test | Sample # 300 | test_loss 798.5843 | test_acc 0.6389 | 
[INFO] L2P.py:342 > Train | Sample # 304 | train_loss 23.9326 | train_acc 0.7292 | lr 0.030000 | running_time 0:01:45 | ETA 4:46:14
[INFO] L2P.py:342 > Train | Sample # 312 | train_loss 23.2780 | train_acc 0.7812 | lr 0.030000 | running_time 0:01:46 | ETA 4:43:41
[INFO] L2P.py:342 > Train | Sample # 320 | train_loss 23.1695 | train_acc 0.6849 | lr 0.030000 | running_time 0:01:48 | ETA 4:41:15
[INFO] L2P.py:342 > Train | Sample # 328 | train_loss 22.9206 | train_acc 0.7760 | lr 0.030000 | running_time 0:01:50 | ETA 4:38:57
