[INFO] main.py:39 > Namespace(agem_batch=240, batchsize=16, data_dir='/local_datasets/puridiver/cifar100', dataset='cifar100', debug=False, distilling=True, eval_period=100, gpu_transform=True, imp_update_period=1, init_model=False, init_opt=False, log_path='results', lr=0.0003, lr_length=10, lr_period=10, lr_step=0.95, m=10, memory_epoch=256, memory_size=2000, mir_cands=50, mode='er', model_name='resnet34', n=50, n_tasks=10, n_worker=0, note='[ER-Adam]_iblurry_cifar100_3epoch', num_gpus=1, online_iter=3.0, opt_name='adam', reg_coef=100, rnd_seed=1, sched_name='default', temp_batchsize=None, topk=1, transforms=['cutmix', 'autoaug'], use_amp=True, workers_per_gpu=1)
[INFO] main.py:48 > Set the device (cuda)
[INFO] main.py:94 > Using train-transforms Compose(
    RandomCrop(size=(32, 32), padding=4)
    RandomHorizontalFlip(p=0.5)
    AutoAugment(policy=AutoAugmentPolicy.CIFAR10, fill=None)
    ConvertImageDtype()
    Normalize(mean=(0.5071, 0.4867, 0.4408), std=(0.2675, 0.2565, 0.2761))
)
[INFO] main.py:104 > [1] Select a CIL method (er)
[Selected Model: resnet34
[INFO] main.py:110 > [2] Incrementally training 10 tasks

##################################################
# Task 0 iteration
##################################################

[INFO] main.py:123 > [2-1] Prepare a datalist for the current task
[INFO] er_baseline.py:198 > Train | Sample # 256 | train_loss 1.5999 | train_acc 0.4922 | lr 0.000294 | running_time 0:00:43 | ETA 2:20:01
[INFO] er_baseline.py:198 > Train | Sample # 264 | train_loss 1.9545 | train_acc 0.3906 | lr 0.000299 | running_time 0:00:44 | ETA 2:19:40
[INFO] er_baseline.py:198 > Train | Sample # 272 | train_loss 1.9638 | train_acc 0.3724 | lr 0.000299 | running_time 0:00:45 | ETA 2:19:20
[INFO] er_baseline.py:198 > Train | Sample # 280 | train_loss 1.8548 | train_acc 0.4609 | lr 0.000298 | running_time 0:00:46 | ETA 2:18:53
[INFO] er_baseline.py:198 > Train | Sample # 288 | train_loss 1.7618 | train_acc 0.4844 | lr 0.000297 | running_time 0:00:48 | ETA 2:18:31
[INFO] er_baseline.py:198 > Train | Sample # 296 | train_loss 1.7635 | train_acc 0.4219 | lr 0.000296 | running_time 0:00:49 | ETA 2:18:14
[INFO] er_baseline.py:208 > Test | Sample # 300 | test_loss 4.2196 | test_acc 0.2161 | 
[INFO] er_baseline.py:198 > Train | Sample # 304 | train_loss 1.8975 | train_acc 0.4010 | lr 0.000299 | running_time 0:00:51 | ETA 2:20:44
[INFO] er_baseline.py:198 > Train | Sample # 312 | train_loss 1.7135 | train_acc 0.4557 | lr 0.000299 | running_time 0:00:52 | ETA 2:20:23
[INFO] er_baseline.py:198 > Train | Sample # 320 | train_loss 1.7068 | train_acc 0.4323 | lr 0.000298 | running_time 0:00:54 | ETA 2:20:06
[INFO] er_baseline.py:198 > Train | Sample # 328 | train_loss 1.7094 | train_acc 0.4661 | lr 0.000297 | running_time 0:00:55 | ETA 2:19:53
[INFO] er_baseline.py:198 > Train | Sample # 336 | train_loss 1.6583 | train_acc 0.5026 | lr 0.000299 | running_time 0:00:56 | ETA 2:19:38
[INFO] er_baseline.py:198 > Train | Sample # 344 | train_loss 1.5094 | train_acc 0.5859 | lr 0.000299 | running_time 0:00:57 | ETA 2:19:25
[INFO] er_baseline.py:198 > Train | Sample # 352 | train_loss 1.7018 | train_acc 0.5391 | lr 0.000298 | running_time 0:00:59 | ETA 2:19:10
[INFO] er_baseline.py:198 > Train | Sample # 360 | train_loss 1.7934 | train_acc 0.4349 | lr 0.000299 | running_time 0:01:00 | ETA 2:18:54
[INFO] er_baseline.py:198 > Train | Sample # 368 | train_loss 1.6317 | train_acc 0.5182 | lr 0.000299 | running_time 0:01:01 | ETA 2:18:39
[INFO] er_baseline.py:198 > Train | Sample # 376 | train_loss 1.8370 | train_acc 0.4167 | lr 0.000298 | running_time 0:01:02 | ETA 2:18:26
[INFO] er_baseline.py:198 > Train | Sample # 384 | train_loss 1.7431 | train_acc 0.5208 | lr 0.000297 | running_time 0:01:04 | ETA 2:18:15
[INFO] er_baseline.py:198 > Train | Sample # 392 | train_loss 1.9373 | train_acc 0.3750 | lr 0.000299 | running_time 0:01:05 | ETA 2:18:03
[INFO] er_baseline.py:198 > Train | Sample # 400 | train_loss 1.6597 | train_acc 0.5208 | lr 0.000299 | running_time 0:01:06 | ETA 2:17:51
[INFO] er_baseline.py:208 > Test | Sample # 400 | test_loss 7.0390 | test_acc 0.1948 | 
[INFO] er_baseline.py:198 > Train | Sample # 408 | train_loss 1.5382 | train_acc 0.5443 | lr 0.000298 | running_time 0:01:09 | ETA 2:20:24
[INFO] er_baseline.py:198 > Train | Sample # 416 | train_loss 2.0106 | train_acc 0.3802 | lr 0.000297 | running_time 0:01:10 | ETA 2:20:15
