[INFO] main.py:39 > Namespace(mode='L2P', dataset='cifar100', n_tasks=10, n=50, m=10, rnd_seed=1, memory_size=2000, log_path='results', model_name='resnet34', opt_name='adam', sched_name='default', batchsize=16, n_worker=0, lr=0.03, init_model=False, init_opt=False, topk=1, use_amp=True, transforms=['cutmix', 'autoaug'], gpu_transform=True, reg_coef=100, data_dir=None, debug=False, note='clib', eval_period=100, temp_batchsize=None, online_iter=3.0, num_gpus=1, workers_per_gpu=1, imp_update_period=1, lr_step=0.95, lr_length=10, lr_period=10, memory_epoch=256, distilling=True, agem_batch=240, mir_cands=50)
[INFO] main.py:48 > Set the device (cuda)
[INFO] main.py:94 > Using train-transforms Compose(
    RandomCrop(size=(32, 32), padding=4)
    RandomHorizontalFlip(p=0.5)
    AutoAugment(policy=AutoAugmentPolicy.CIFAR10, fill=None)
    ConvertImageDtype()
    Normalize(mean=(0.5071, 0.4867, 0.4408), std=(0.2675, 0.2565, 0.2761))
)
[INFO] main.py:104 > [1] Select a CIL method (L2P)
[INFO] main.py:110 > [2] Incrementally training 10 tasks
[INFO] main.py:123 > [2-1] Prepare a datalist for the current task
[INFO] L2P.py:339 > Train | Sample # 264 | train_loss 40.5461 | train_acc 0.6823 | lr 0.027716 | running_time 0:02:10 | ETA 6:50:23
[INFO] L2P.py:339 > Train | Sample # 272 | train_loss 40.0809 | train_acc 0.7839 | lr 0.027649 | running_time 0:02:13 | ETA 6:47:19
[INFO] L2P.py:339 > Train | Sample # 280 | train_loss 40.3196 | train_acc 0.7344 | lr 0.027583 | running_time 0:02:16 | ETA 6:44:31
[INFO] L2P.py:339 > Train | Sample # 288 | train_loss 40.7328 | train_acc 0.6719 | lr 0.027517 | running_time 0:02:19 | ETA 6:41:51
[INFO] L2P.py:339 > Train | Sample # 296 | train_loss 40.6018 | train_acc 0.6667 | lr 0.027451 | running_time 0:02:22 | ETA 6:39:17
[INFO] L2P.py:349 > Test | Sample # 300 | test_loss 1098.2507 | test_acc 0.5606 | 
[INFO] L2P.py:339 > Train | Sample # 304 | train_loss 40.3825 | train_acc 0.7031 | lr 0.027385 | running_time 0:02:41 | ETA 7:20:56
[INFO] L2P.py:339 > Train | Sample # 312 | train_loss 40.2359 | train_acc 0.7344 | lr 0.027319 | running_time 0:02:44 | ETA 7:17:35
[INFO] L2P.py:339 > Train | Sample # 320 | train_loss 40.5470 | train_acc 0.6276 | lr 0.027254 | running_time 0:02:47 | ETA 7:14:17
[INFO] L2P.py:339 > Train | Sample # 328 | train_loss 40.4895 | train_acc 0.6875 | lr 0.027188 | running_time 0:02:50 | ETA 7:11:15
[INFO] L2P.py:339 > Train | Sample # 336 | train_loss 39.9941 | train_acc 0.7943 | lr 0.027123 | running_time 0:02:53 | ETA 7:08:20
[INFO] L2P.py:339 > Train | Sample # 344 | train_loss 40.2003 | train_acc 0.7656 | lr 0.027058 | running_time 0:02:56 | ETA 7:05:31
[INFO] L2P.py:339 > Train | Sample # 352 | train_loss 40.5635 | train_acc 0.7240 | lr 0.026993 | running_time 0:02:59 | ETA 7:02:50
[INFO] L2P.py:339 > Train | Sample # 360 | train_loss 40.7864 | train_acc 0.6562 | lr 0.026929 | running_time 0:03:02 | ETA 7:00:18
[INFO] L2P.py:339 > Train | Sample # 368 | train_loss 40.2983 | train_acc 0.7474 | lr 0.026864 | running_time 0:03:05 | ETA 6:57:57
[INFO] L2P.py:339 > Train | Sample # 376 | train_loss 40.1939 | train_acc 0.7266 | lr 0.026800 | running_time 0:03:08 | ETA 6:55:41
[INFO] L2P.py:339 > Train | Sample # 384 | train_loss 40.4057 | train_acc 0.6927 | lr 0.026735 | running_time 0:03:12 | ETA 6:53:30
[INFO] L2P.py:339 > Train | Sample # 392 | train_loss 40.6708 | train_acc 0.6745 | lr 0.026671 | running_time 0:03:15 | ETA 6:51:21
[INFO] L2P.py:339 > Train | Sample # 400 | train_loss 40.5267 | train_acc 0.6901 | lr 0.026607 | running_time 0:03:18 | ETA 6:49:18
[INFO] L2P.py:349 > Test | Sample # 400 | test_loss 1124.8492 | test_acc 0.4983 | 
[INFO] L2P.py:339 > Train | Sample # 408 | train_loss 40.3640 | train_acc 0.7474 | lr 0.026544 | running_time 0:03:41 | ETA 7:29:25
[INFO] L2P.py:339 > Train | Sample # 416 | train_loss 40.3882 | train_acc 0.6927 | lr 0.026480 | running_time 0:03:44 | ETA 7:26:38
[INFO] L2P.py:339 > Train | Sample # 424 | train_loss 40.4786 | train_acc 0.6901 | lr 0.026417 | running_time 0:03:47 | ETA 7:24:02
[INFO] L2P.py:339 > Train | Sample # 432 | train_loss 40.3925 | train_acc 0.6901 | lr 0.026353 | running_time 0:03:50 | ETA 7:21:29
[INFO] L2P.py:339 > Train | Sample # 440 | train_loss 40.4983 | train_acc 0.6510 | lr 0.026290 | running_time 0:03:53 | ETA 7:19:02
[INFO] L2P.py:339 > Train | Sample # 448 | train_loss 40.5029 | train_acc 0.6771 | lr 0.026227 | running_time 0:03:56 | ETA 7:16:41
[INFO] L2P.py:339 > Train | Sample # 456 | train_loss 40.3343 | train_acc 0.7526 | lr 0.026164 | running_time 0:03:59 | ETA 7:14:25
[INFO] L2P.py:339 > Train | Sample # 464 | train_loss 40.6897 | train_acc 0.6771 | lr 0.026101 | running_time 0:04:02 | ETA 7:12:10
[INFO] L2P.py:339 > Train | Sample # 472 | train_loss 40.8183 | train_acc 0.6458 | lr 0.026039 | running_time 0:04:05 | ETA 7:10:09
[INFO] L2P.py:339 > Train | Sample # 480 | train_loss 40.5176 | train_acc 0.7135 | lr 0.025976 | running_time 0:04:08 | ETA 7:08:06
[INFO] L2P.py:339 > Train | Sample # 488 | train_loss 40.9345 | train_acc 0.6302 | lr 0.025914 | running_time 0:04:12 | ETA 7:06:08
[INFO] L2P.py:339 > Train | Sample # 496 | train_loss 41.1209 | train_acc 0.5755 | lr 0.025852 | running_time 0:04:15 | ETA 7:04:13
[INFO] L2P.py:349 > Test | Sample # 500 | test_loss 1060.1853 | test_acc 0.3935 | 
[INFO] L2P.py:339 > Train | Sample # 504 | train_loss 40.7694 | train_acc 0.6875 | lr 0.025790 | running_time 0:04:41 | ETA 7:40:35
[INFO] L2P.py:339 > Train | Sample # 512 | train_loss 40.4407 | train_acc 0.6693 | lr 0.025728 | running_time 0:04:44 | ETA 7:38:09
[INFO] L2P.py:339 > Train | Sample # 520 | train_loss 40.7794 | train_acc 0.6484 | lr 0.025667 | running_time 0:04:47 | ETA 7:35:49
[INFO] L2P.py:339 > Train | Sample # 528 | train_loss 40.4643 | train_acc 0.7188 | lr 0.025605 | running_time 0:04:50 | ETA 7:33:34
[INFO] L2P.py:339 > Train | Sample # 536 | train_loss 40.3640 | train_acc 0.7734 | lr 0.025544 | running_time 0:04:53 | ETA 7:31:23
[INFO] L2P.py:339 > Train | Sample # 544 | train_loss 40.7284 | train_acc 0.6562 | lr 0.025482 | running_time 0:04:56 | ETA 7:29:18
[INFO] L2P.py:339 > Train | Sample # 552 | train_loss 40.6428 | train_acc 0.6250 | lr 0.025421 | running_time 0:04:59 | ETA 7:27:14
[INFO] L2P.py:339 > Train | Sample # 560 | train_loss 40.3802 | train_acc 0.7474 | lr 0.025360 | running_time 0:05:02 | ETA 7:25:17
[INFO] L2P.py:339 > Train | Sample # 568 | train_loss 40.7495 | train_acc 0.6901 | lr 0.025300 | running_time 0:05:05 | ETA 7:23:20
[INFO] L2P.py:339 > Train | Sample # 576 | train_loss 40.5105 | train_acc 0.6901 | lr 0.025239 | running_time 0:05:08 | ETA 7:21:29
[INFO] L2P.py:339 > Train | Sample # 584 | train_loss 40.5893 | train_acc 0.6745 | lr 0.025178 | running_time 0:05:11 | ETA 7:19:38
[INFO] L2P.py:339 > Train | Sample # 592 | train_loss 40.0245 | train_acc 0.7448 | lr 0.025118 | running_time 0:05:14 | ETA 7:17:50
[INFO] L2P.py:339 > Train | Sample # 600 | train_loss 40.1387 | train_acc 0.7552 | lr 0.025058 | running_time 0:05:17 | ETA 7:16:03
[INFO] L2P.py:349 > Test | Sample # 600 | test_loss 1142.7365 | test_acc 0.3918 | 
[INFO] L2P.py:339 > Train | Sample # 608 | train_loss 40.5428 | train_acc 0.6667 | lr 0.024998 | running_time 0:05:46 | ETA 7:48:29
[INFO] L2P.py:339 > Train | Sample # 616 | train_loss 39.9411 | train_acc 0.8307 | lr 0.024938 | running_time 0:05:49 | ETA 7:46:21
[INFO] L2P.py:339 > Train | Sample # 624 | train_loss 40.6125 | train_acc 0.6745 | lr 0.024878 | running_time 0:05:52 | ETA 7:44:16
[INFO] L2P.py:339 > Train | Sample # 632 | train_loss 41.2228 | train_acc 0.5729 | lr 0.024818 | running_time 0:05:55 | ETA 7:42:14
[INFO] L2P.py:339 > Train | Sample # 640 | train_loss 40.9994 | train_acc 0.6719 | lr 0.024759 | running_time 0:05:58 | ETA 7:40:17
[INFO] L2P.py:339 > Train | Sample # 648 | train_loss 40.6601 | train_acc 0.6641 | lr 0.024700 | running_time 0:06:01 | ETA 7:38:23
[INFO] L2P.py:339 > Train | Sample # 656 | train_loss 40.2694 | train_acc 0.7318 | lr 0.024640 | running_time 0:06:04 | ETA 7:36:32
[INFO] L2P.py:339 > Train | Sample # 664 | train_loss 40.4885 | train_acc 0.6797 | lr 0.024581 | running_time 0:06:07 | ETA 7:34:43
[INFO] L2P.py:339 > Train | Sample # 672 | train_loss 40.9448 | train_acc 0.7500 | lr 0.024522 | running_time 0:06:10 | ETA 7:32:57
[INFO] L2P.py:339 > Train | Sample # 680 | train_loss 40.7932 | train_acc 0.6510 | lr 0.024464 | running_time 0:06:13 | ETA 7:31:15
[INFO] L2P.py:339 > Train | Sample # 688 | train_loss 40.7948 | train_acc 0.6693 | lr 0.024405 | running_time 0:06:16 | ETA 7:29:34
[INFO] L2P.py:339 > Train | Sample # 696 | train_loss 41.0146 | train_acc 0.5990 | lr 0.024346 | running_time 0:06:19 | ETA 7:27:53
[INFO] L2P.py:349 > Test | Sample # 700 | test_loss 1221.8430 | test_acc 0.4407 | 
[INFO] L2P.py:339 > Train | Sample # 704 | train_loss 40.6420 | train_acc 0.6510 | lr 0.024288 | running_time 0:06:49 | ETA 7:57:40
[INFO] L2P.py:339 > Train | Sample # 712 | train_loss 40.8887 | train_acc 0.6823 | lr 0.024230 | running_time 0:06:52 | ETA 7:55:41
[INFO] L2P.py:339 > Train | Sample # 720 | train_loss 40.5658 | train_acc 0.6771 | lr 0.024172 | running_time 0:06:55 | ETA 7:53:45
[INFO] L2P.py:339 > Train | Sample # 728 | train_loss 40.7928 | train_acc 0.7057 | lr 0.024114 | running_time 0:06:58 | ETA 7:51:50
[INFO] L2P.py:339 > Train | Sample # 736 | train_loss 40.4496 | train_acc 0.7266 | lr 0.024056 | running_time 0:07:01 | ETA 7:49:59
[INFO] L2P.py:339 > Train | Sample # 744 | train_loss 40.9433 | train_acc 0.6250 | lr 0.023998 | running_time 0:07:04 | ETA 7:48:10
[INFO] L2P.py:339 > Train | Sample # 752 | train_loss 40.5757 | train_acc 0.6641 | lr 0.023941 | running_time 0:07:07 | ETA 7:46:23
[INFO] L2P.py:339 > Train | Sample # 760 | train_loss 40.6670 | train_acc 0.6510 | lr 0.023883 | running_time 0:07:10 | ETA 7:44:42
[INFO] L2P.py:339 > Train | Sample # 768 | train_loss 40.6835 | train_acc 0.7057 | lr 0.023826 | running_time 0:07:13 | ETA 7:43:04
[INFO] L2P.py:339 > Train | Sample # 776 | train_loss 40.8275 | train_acc 0.6667 | lr 0.023769 | running_time 0:07:16 | ETA 7:41:24
[INFO] L2P.py:339 > Train | Sample # 784 | train_loss 40.5366 | train_acc 0.6849 | lr 0.023712 | running_time 0:07:19 | ETA 7:39:47
[INFO] L2P.py:339 > Train | Sample # 792 | train_loss 40.4691 | train_acc 0.7161 | lr 0.023655 | running_time 0:07:22 | ETA 7:38:09
